Year,loc,Type,TrialNumber,PlotNumber,col,row,rep,Entry,DH,DM,PHMean,TKW,GYH
2021,Bekoji,BK21FBNHP01,1,16,16,1,1,1,87,151,140,53.6,6369.7508
2021,Bekoji,BK21FBNHP01,1,11,11,1,1,2,93,153,140,50.5,4959.6762
2021,Bekoji,BK21FBNHP01,1,1,1,1,1,3,81,153,130,46.5,6132.456
2021,Bekoji,BK21FBNHP01,1,4,4,1,1,4,95,150,130,38.3,4864.356
2021,Bekoji,BK21FBNHP01,1,17,17,1,1,5,80,140,120,34,5818.4136
2021,Bekoji,BK21FBNHP01,1,12,12,1,1,6,78,142,130,38.6,5867.5116
2021,Bekoji,BK21FBNHP01,1,7,7,1,1,7,81,147,125,34.7,5604.9676
2021,Bekoji,BK21FBNHP01,1,13,13,1,1,8,77,144,110,41.7,5586.6
2021,Bekoji,BK21FBNHP01,1,6,6,1,1,9,80,148,115,32.2,6013
2021,Bekoji,BK21FBNHP01,1,15,15,1,1,10,78,144,130,39.9,6295.4892
2021,Bekoji,BK21FBNHP01,1,3,3,1,1,11,82,149,105,45.5,5840.826
2021,Bekoji,BK21FBNHP01,1,10,10,1,1,12,79,147,115,42.9,6769.0348
2021,Bekoji,BK21FBNHP01,1,5,5,1,1,13,80,144,130,42.6,6158.8
2021,Bekoji,BK21FBNHP01,1,9,9,1,1,14,77,143,130,44.3,5219.2
2021,Bekoji,BK21FBNHP01,1,18,18,1,1,15,80,142,120,37.5,3669.1236
2021,Bekoji,BK21FBNHP01,1,20,20,1,1,16,77,142,120,40.4,5571.1656
2021,Bekoji,BK21FBNHP01,1,8,8,1,1,17,78,144,120,41.8,5848.8
2021,Bekoji,BK21FBNHP01,1,14,14,1,1,18,81,140,120,32.5,4836
2021,Bekoji,BK21FBNHP01,1,2,2,1,1,19,82,154,120,46.8,5566.68
2021,Bekoji,BK21FBNHP01,1,19,19,1,1,20,83,148,120,40.4,5571.1656
2021,Bekoji,BK21FBNHP01,1,25,16,2,2,1,81,150,140,42,6517.8568
2021,Bekoji,BK21FBNHP01,1,32,9,2,2,2,89,151,135,53.2,4820.4192
2021,Bekoji,BK21FBNHP01,1,36,5,2,2,3,79,149,125,47.8,4965.8
2021,Bekoji,BK21FBNHP01,1,38,3,2,2,4,93,150,130,39.2,4452.3432
2021,Bekoji,BK21FBNHP01,1,40,1,2,2,5,78,144,115,38.2,5991.5712
2021,Bekoji,BK21FBNHP01,1,28,13,2,2,6,79,140,125,34.8,6159.6236
2021,Bekoji,BK21FBNHP01,1,23,18,2,2,7,81,149,130,32.4,4107.6862
2021,Bekoji,BK21FBNHP01,1,21,20,2,2,8,76,144,105,37.6,5829.7872
2021,Bekoji,BK21FBNHP01,1,27,14,2,2,9,82,148,120,29.1,5466.2
2021,Bekoji,BK21FBNHP01,1,39,2,2,2,10,79,147,125,41.9,5325.6
2021,Bekoji,BK21FBNHP01,1,34,7,2,2,11,80,144,120,44.3,5190.6042
2021,Bekoji,BK21FBNHP01,1,30,11,2,2,12,80,149,115,43.7,
2021,Bekoji,BK21FBNHP01,1,26,15,2,2,13,80,145,125,42,7106.0868
2021,Bekoji,BK21FBNHP01,1,33,8,2,2,14,79,148,125,43.7,4547.6772
2021,Bekoji,BK21FBNHP01,1,24,17,2,2,15,80,140,115,33.6,2679.0764
2021,Bekoji,BK21FBNHP01,1,22,19,2,2,16,78,144,120,44.1,3491.2424
2021,Bekoji,BK21FBNHP01,1,35,6,2,2,17,79,138,115,42.85,5496.8914
2021,Bekoji,BK21FBNHP01,1,37,4,2,2,18,78,142,120,36.1,3940.7938
2021,Bekoji,BK21FBNHP01,1,31,10,2,2,19,82,149,125,44.2,3579.3444
2021,Bekoji,BK21FBNHP01,1,29,12,2,2,20,83,149,120,34.8,5550.8972
2021,Bekoji,BK21FBNHP01,1,60,20,3,3,1,85,153,135,56.1,5652.0534
2021,Bekoji,BK21FBNHP01,1,55,15,3,3,2,89,154,130,52.9,4006.4148
2021,Bekoji,BK21FBNHP01,1,48,8,3,3,3,81,149,130,46.6,5717.3962
2021,Bekoji,BK21FBNHP01,1,53,13,3,3,4,91,151,135,34.7,5581.6128
2021,Bekoji,BK21FBNHP01,1,43,3,3,3,5,80,146,120,37.6,
2021,Bekoji,BK21FBNHP01,1,45,5,3,3,6,78,144,125,40.3,5393.7328
2021,Bekoji,BK21FBNHP01,1,58,18,3,3,7,82,147,120,33.6,4755.0402
2021,Bekoji,BK21FBNHP01,1,49,9,3,3,8,78,148,115,41.6,5862.0762
2021,Bekoji,BK21FBNHP01,1,59,19,3,3,9,82,149,115,31.3,4923.0264
2021,Bekoji,BK21FBNHP01,1,41,1,3,3,10,77,146,120,43.2,4769.3646
2021,Bekoji,BK21FBNHP01,1,50,10,3,3,11,82,147,115,43.2,6192.8576
2021,Bekoji,BK21FBNHP01,1,46,6,3,3,12,78,148,110,42.3,6769.5628
2021,Bekoji,BK21FBNHP01,1,52,12,3,3,13,80,147,115,41.3,5863.538
2021,Bekoji,BK21FBNHP01,1,44,4,3,3,14,77,146,125,46.6,4865.607
2021,Bekoji,BK21FBNHP01,1,56,16,3,3,15,80,144,110,34.7,5456.32
2021,Bekoji,BK21FBNHP01,1,54,14,3,3,16,79,148,120,41.6,6680.9124
2021,Bekoji,BK21FBNHP01,1,57,17,3,3,17,78,143,115,42.3,5931.114
2021,Bekoji,BK21FBNHP01,1,51,11,3,3,18,80,144,110,33.9,3784.9548
2021,Bekoji,BK21FBNHP01,1,42,2,3,3,19,82,153,125,47.3,5931.552
2021,Bekoji,BK21FBNHP01,1,47,7,3,3,20,80,149,115,44.2,5151.2868
2021,Debreberhane,DB21FBNHP01,1,3,3,1,1,1,85,,89,53.6,1132.84
2021,Debreberhane,DB21FBNHP01,1,1,1,1,1,2,96,,104,57.6,2357.946
2021,Debreberhane,DB21FBNHP01,1,9,9,1,1,3,79,,84.33333333,41.2,1238.8904
2021,Debreberhane,DB21FBNHP01,1,7,7,1,1,4,101,,76.66666667,40.8,818.4896
2021,Debreberhane,DB21FBNHP01,1,4,4,1,1,5,82,,79.66666667,39.2,1658.4444
2021,Debreberhane,DB21FBNHP01,1,11,11,1,1,6,85,,81.33333333,37.6,1798.8452
2021,Debreberhane,DB21FBNHP01,1,5,5,1,1,7,82,,78,33.6,1331.382
2021,Debreberhane,DB21FBNHP01,1,10,10,1,1,8,82,,78.66666667,42,1301.5614
2021,Debreberhane,DB21FBNHP01,1,8,8,1,1,9,96,,70,36.8,1468.7298
2021,Debreberhane,DB21FBNHP01,1,12,12,1,1,10,79,,77.66666667,42.4,1830.7296
2021,Debreberhane,DB21FBNHP01,1,19,19,1,1,11,85,,81.66666667,45.2,3125.0016
2021,Debreberhane,DB21FBNHP01,1,14,14,1,1,12,88,,77,49.2,2865.456
2021,Debreberhane,DB21FBNHP01,1,18,18,1,1,13,79,,85.33333333,46.8,2563.5984
2021,Debreberhane,DB21FBNHP01,1,13,13,1,1,14,85,,86.66666667,44.8,1972.3102
2021,Debreberhane,DB21FBNHP01,1,6,6,1,1,15,85,,68.33333333,45.6,1482.304
2021,Debreberhane,DB21FBNHP01,1,16,16,1,1,16,81,,90.66666667,49.6,3528.3266
2021,Debreberhane,DB21FBNHP01,1,15,15,1,1,17,81,,83.66666667,51.6,1400.668
2021,Debreberhane,DB21FBNHP01,1,17,17,1,1,18,79,,78.66666667,38.8,2466.156
2021,Debreberhane,DB21FBNHP01,1,20,20,1,1,19,85,,98,48.4,2698.1944
2021,Debreberhane,DB21FBNHP01,1,2,2,1,1,20,82,,84.33333333,47.6,2349.26
2021,Debreberhane,DB21FBNHP01,1,38,3,2,2,1,91,,76.66666667,50.8,1211.8572
2021,Debreberhane,DB21FBNHP01,1,23,18,2,2,2,89,,118,58.8,3813.9118
2021,Debreberhane,DB21FBNHP01,1,30,11,2,2,3,84,,78,35.6,1141.0146
2021,Debreberhane,DB21FBNHP01,1,22,19,2,2,4,99,,99,44.8,2034.8136
2021,Debreberhane,DB21FBNHP01,1,33,8,2,2,5,80,,71.66666667,35.2,1252.1452
2021,Debreberhane,DB21FBNHP01,1,31,10,2,2,6,86,,74,37.2,1918.224
