Year,loc,rep,Genotype,DH,DM,PHMean,TKW,GYH
2019,Bekoji,1,1,87,151,140,53.6,6369.7508
2019,Bekoji,1,2,93,153,140,50.5,4959.6762
2019,Bekoji,1,3,81,153,130,46.5,6132.456
2019,Bekoji,1,4,95,150,130,38.3,4864.356
2019,Bekoji,1,5,80,140,120,34,5818.4136
2019,Bekoji,1,6,78,142,130,38.6,5867.5116
2019,Bekoji,1,7,81,147,125,34.7,5604.9676
2019,Bekoji,1,8,77,144,110,41.7,5586.6
2019,Bekoji,1,9,80,148,115,32.2,6013
2019,Bekoji,1,10,78,144,130,39.9,6295.4892
2019,Bekoji,1,11,82,149,105,45.5,5840.826
2019,Bekoji,1,12,79,147,115,42.9,6769.0348
2019,Bekoji,1,13,80,144,130,42.6,6158.8
2019,Bekoji,1,14,77,143,130,44.3,5219.2
2019,Bekoji,1,15,80,142,120,37.5,3669.1236
2019,Bekoji,1,16,77,142,120,40.4,5571.1656
2019,Bekoji,1,17,78,144,120,41.8,5848.8
2019,Bekoji,1,18,81,140,120,32.5,4836
2019,Bekoji,1,19,82,154,120,46.8,5566.68
2019,Bekoji,1,20,83,148,120,40.4,5571.1656
2019,Bekoji,2,1,81,150,140,42,6517.8568
2019,Bekoji,2,2,89,151,135,53.2,4820.4192
2019,Bekoji,2,3,79,149,125,47.8,4965.8
2019,Bekoji,2,4,93,150,130,39.2,4452.3432
2019,Bekoji,2,5,78,144,115,38.2,5991.5712
2019,Bekoji,2,6,79,140,125,34.8,6159.6236
2019,Bekoji,2,7,81,149,130,32.4,4107.6862
2019,Bekoji,2,8,76,144,105,37.6,5829.7872
2019,Bekoji,2,9,82,148,120,29.1,5466.2
2019,Bekoji,2,10,79,147,125,41.9,5325.6
2019,Bekoji,2,11,80,144,120,44.3,5190.6042
2019,Bekoji,2,12,80,149,115,43.7,
2019,Bekoji,2,13,80,145,125,42,7106.0868
2019,Bekoji,2,14,79,148,125,43.7,4547.6772
2019,Bekoji,2,15,80,140,115,33.6,2679.0764
2019,Bekoji,2,16,78,144,120,44.1,3491.2424
2019,Bekoji,2,17,79,138,115,42.85,5496.8914
2019,Bekoji,2,18,78,142,120,36.1,3940.7938
2019,Bekoji,2,19,82,149,125,44.2,3579.3444
2019,Bekoji,2,20,83,149,120,34.8,5550.8972
2019,Bekoji,3,1,85,153,135,56.1,5652.0534
2019,Bekoji,3,2,89,154,130,52.9,4006.4148
2019,Bekoji,3,3,81,149,130,46.6,5717.3962
2019,Bekoji,3,4,91,151,135,34.7,5581.6128
2019,Bekoji,3,5,80,146,120,37.6,
2019,Bekoji,3,6,78,144,125,40.3,5393.7328
2019,Bekoji,3,7,82,147,120,33.6,4755.0402
2019,Bekoji,3,8,78,148,115,41.6,5862.0762
2019,Bekoji,3,9,82,149,115,31.3,4923.0264
2019,Bekoji,3,10,77,146,120,43.2,4769.3646
2019,Bekoji,3,11,82,147,115,43.2,6192.8576
2019,Bekoji,3,12,78,148,110,42.3,6769.5628
2019,Bekoji,3,13,80,147,115,41.3,5863.538
2019,Bekoji,3,14,77,146,125,46.6,4865.607
2019,Bekoji,3,15,80,144,110,34.7,5456.32
2019,Bekoji,3,16,79,148,120,41.6,6680.9124
2019,Bekoji,3,17,78,143,115,42.3,5931.114
2019,Bekoji,3,18,80,144,110,33.9,3784.9548
2019,Bekoji,3,19,82,153,125,47.3,5931.552
2019,Bekoji,3,20,80,149,115,44.2,5151.2868
